Name,Phone_1,Phone_2,Phone_3,Email,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Nirvana - Egaila,+96598992758,,,,"Gate Mall,Block 5,Road 104,Egaila",Al-Ahmadi Governorate,Kuwait,Nirvana Which Is Located In Kuwait,http://nirvanaindianrestaurant.com/,https://kuwaitlocal.com/business/nirvana-egaila,https://www.facebook.com/pages/Nirvana-Restaurant-the-Gate-Mall,,,https://twitter.com/nirvana_kuwait,
Kohinoor Restaurant - Fahaheel,+96565793546,+96523911857,,,"5th Floor,Warda Complex,Al Sanion Street,Opp Salman Dabbous Complex,Near Ajial Mall,Fahaheel",Al-Ahmadi Governorate,Kuwait,"Kohinoor International runs a multi cuisine restaurant situated at the heart of Fahaheel area offering a variety of authentic Indian, Chinese, Italian, Arabic & Continental food. Kohinoor Restaurant is flamboyant in its class with a seating capacity for more than one hundred persons and in addition provides ten family cabins for extra privacy. Delivery to any place in Kuwait is provided on request. Our outdoor catering services are very well recognized in Kuwait with its absolute quality and ...",http://www.kohinoorinternational.com/,https://kuwaitlocal.com/business/kohinoor-restaurant-fahaheel,https://www.facebook.com/info.Kohinoorinternational,,https://www.linkedin.com/pub/kohinoor-international/45/588/129,https://twitter.com/InfoKohinoor,
Royal Marina - Mahboula,+96555980666,+96566114288,,,"Block 2,Street 221,Behind Fintas Tower,Mahboula",Al-Ahmadi Governorate,Kuwait,"ROYAL MARINA â€“ Multi Cuisine restaurant with its high class services is located in MAHBOULA right behind Al-Fintas Tower. Dining in Royal Marina will give a mouth watering experience for you and your entire family in Kuwait. Our exotic cuisine surpass the periphery of culture and country. Wide range of authentic Indian, Chinese, Thai and Arabic healthy dishes are offered to our guests. Online ordering through our Website, Dine Inn, Home delivery, take away and party / catering services are ...",http://www.royal-marina.com/,https://kuwaitlocal.com/business/royal-marina-mahboula,https://www.facebook.com/royalmarinakwt,https://instagram.com/royalmarinakwt/,,https://twitter.com/royalmarinakwt,
Smb Caterers - Kuwait City,+96566991829,+96566965188,+96599625109,,Kuwait City,Capital Governorate,Kuwait,SMB Caterers Which Is Located In Kuwait,http://smbcaterers.com/,https://kuwaitlocal.com/business/smb-caterers-kuwait-city,https://www.facebook.com/smbkwt/info?tab=overview,,,,
Ashas Restaurant - Salmiya,+965 22244504,,,,"Block 7,Salmiya",Hawalli Governorate,Kuwait,Ashas Restaurant is Located in Kuwait,http://www.ashasrestaurants.com/,https://kuwaitlocal.com/business/ashas-restaurant-salmiya,,,,,
Hotel Udupi International - Kuwait City,,,,,"Ahmad Al Jaber Street,Kuwait City",Capital Governorate,Kuwait,Hotel Udupi International which is located in kuwait City.,http://www.udupiinternational.com/,https://kuwaitlocal.com/business/hotel-udupi-international-kuwait-city,,,,,
Mughal Mahal Restaurant - Salmiya,+965 25729290,,,,"Block 7,Hamad Al Mubarak Street,Salmiya",Hawalli Governorate,Kuwait,"Having proven our mettle in catering and with over a quarter-century of experience in fine dining, in June of 2010, we decided to embark upon an additional line — a multi-functional hall. Named Al Rayan, this exquisitely designed and full-service family lounge and function hall is fast becoming the Kuwait’s premier banqueting destination for corporate and social functions.",http://mughalmahal.com/,https://kuwaitlocal.com/business/mughal-mahal-restaurant-salmiya-3,https://www.facebook.com/mughalmahalq11,,,,https://www.youtube.com/watch?v=Yoq_GyrQb-U
Thakkara Restaurant - Salmiya 1,,,,,"Easa Al Qatami Street,Salmiya",Hawalli Governorate,Kuwait,Thakkara Restaurant is Located in Kuwait,http://www.thakkara.com/,https://kuwaitlocal.com/business/thakkara-restaurant-salmiya-1,https://www.facebook.com/pages/Thakkara/507466175976647,,,,
Ashas Restaurant - Al Zahra,,,,,"360 Mall,AL-Zahra",Hawalli Governorate,Kuwait,Ashas Restaurant is Located in Kuwait,http://www.ashasrestaurants.com/,https://kuwaitlocal.com/business/ashas-restaurant-al-zahra,,,,,
Karak Gholam Salmiya,+965 25755751,,,,"inside Souk Salmiya,Salmiya",Hawalli Governorate,Kuwait,Karak Gholam Salmiya,http://karakgholam.com,https://kuwaitlocal.com/business/karak-gholam-salmiya,,http://instagram.com/karakgholam,,https://twitter.com/karakgholam1,
Karak Gholam Hawally,+965 25755751,,,,"inside Al-Muhallab,Hawally",Hawalli Governorate,Kuwait,Karak Gholam Hawally,http://karakgholam.com,https://kuwaitlocal.com/business/karak-gholam-hawally,,http://instagram.com/karakgholam,,https://twitter.com/karakgholam1,
Karak Gholam Sabhan,+96569010276,,,,"Murouj,Sabhan Industrial Area",Mubarak Al-Kabeer Governorate,Kuwait,Karak Gholam Sabhan,http://karakgholam.com,https://kuwaitlocal.com/business/karak-gholam-sabhan,,http://instagram.com/karakgholam,,https://twitter.com/karakgholam1,
Thakkara Restaurant - Farwaniya,,,,,"200,Farwaniya",Al Farwaniyah Governorate,Kuwait,Thakkara Restaurant Which is Located in Kuwait,http://www.thakkara.com/,https://kuwaitlocal.com/business/thakkara-restaurant-farwaniya,https://www.facebook.com/pages/Thakkara/507466175976647,,,,
Paragon Restaurant,+96555815580,,,,"Abdulla Al Mubarak Street,Mirqab",Capital Governorate,Kuwait,Paragon Restaurant is Located in Kuwait,http://paragonkuwait.com/,https://kuwaitlocal.com/business/paragon-restaurant,https://www.facebook.com/Paragon-Restaurant-Kuwait-119365725064290/info/?tab=page_info,https://www.instagram.com/paragonkuwait/,,,
Copper Chimney - Al Bedae,,,,,"Al-Taawen Street,Al-Bedae",Hawalli Governorate,Kuwait,"Tracing the timeless essence of the North West Frontier Province and Northern India, Copper Chimney takes you on a culinary journey of exploration and celebration of food, culture, and tradition. Capturing the robust flavours of the Frontier and the rustic fare of the fabled roadside ‘dhabas’ of Punjab in India ,Copper Chimney delivers an authentic dining experience in its own signature style.",http://copperchimneykuwait.com/,https://kuwaitlocal.com/business/copper-chimney-al-bedae,https://www.facebook.com/CopperChimneyKuwait,,,https://twitter.com/copperchimneykw,
Route Ledo Restaurant,+96590066640,+96590006647,,,"30 Salem Al Mubarak Street,Salmiya",Hawalli Governorate,Kuwait,Route Ledo Restaurant,http://routeledo.com/,https://kuwaitlocal.com/business/route-ledo-restaurant,,https://www.instagram.com/route.ledo/,,,
Dwaihi Palace Farwaniya,+96524757575,+96524757577,,,"114 Ali Fahad Al Dewailah St, Al Farwaniyah, Kuwait,Farwaniya",Al Farwaniyah Governorate,Kuwait,"Host Your Perfect Event at Dwaihi Palace, Farwaniya's Premier Venue If you're looking for a standout venue to host your event in Farwaniya, Dwaihi Palace is the perfect choice. This multi-cuisine restaurant and party hall boasts excellent facilities that make every occasion unforgettable. Here's everything you need to know about hosting your event at Dwaihi Palace. Venue Details Location : Ali Fahad Al-Duwailah Street, Farwaniya, Kuwait Contact Details : +965 24757577 Google Maps Dwaihi Palac...",http://www.dwaihipalace.com/,https://kuwaitlocal.com/business/dwaihi-palace-farwaniya,,,,,
Kumar Restaurant Sabhan,,,,,"inside Murouj,Sabhan Industrial Area",Mubarak Al-Kabeer Governorate,Kuwait,Kumar Restaurant is Located in Kuwait,https://www.kumarkw.com/en,https://kuwaitlocal.com/business/kumar-restaurant,,https://www.instagram.com/kumar_kw/,,,
Biryani Pot,+96555221154,+96522205044,+96566624606,,Salmiya,Hawalli Governorate,Kuwait,Biryani restaurants in Kuwait,http://www.biryanipotkw.com/,https://kuwaitlocal.com/business/biryani-pot,https://www.facebook.com/Biryani_pot-960247807345355/,https://www.instagram.com/biryani_pot/,,,
Restaurant Hyderabad Bokhari - Mahboula,+96597682373,,,,"110 Street,Mahboula",Al-Ahmadi Governorate,Kuwait,We serve authentic Hyderabadi food in Kuwait. Dine in or delivery we guarantee a genuine taste,http://www.resthb.com,https://kuwaitlocal.com/business/restaurant-hyderabad-bokhari-mahboula,https://www.facebook.com/resthb/info/?entry_point=page_nav_about_item&tab=page_info,,,,
Taal Al Bidae,,,,,"inside ARGAN Al Bidaa,Al-Bedae",Hawalli Governorate,Kuwait,"TAAL is inspired by the people of India and blends its theme with India\'s Rich Traditional Cuisine and the Global Culinary Impressions. Its extensive menu offers a selection of classic recipes of kebabs, Creative flavors, Fragrant biryanis and Trendy Indian desserts. The menu selection offers a wide choice of Salads, Starters, Soups, Grills, Main course dishes, and desserts along with refreshing Mocktails, which are done using ingredients of a stunning top-drawer quality to give you a meal t...",http://www.taalq8.com,https://kuwaitlocal.com/business/taal-al-bidae,https://www.facebook.com/TaalQ8,http://instagram.com/TaalQ8,,https://twitter.com/TaalQ8,
Zafran Indian Bistro,+96597281007,,,,"Light Complex, Road 209,Salem Sabah Al Salem Street,Mahboula",Al-Ahmadi Governorate,Kuwait,Zafran Indian Bistro Which is Located in Kuwait,http://www.zafranrestaurants.com/,https://kuwaitlocal.com/business/zafran-indian-bistro,https://www.facebook.com/ZafranIndianBistro/info/?entry_point=page_nav_about_item&tab=page_info,https://www.instagram.com/zafranindianbistro/,,https://twitter.com/ZafranBistro,https://www.youtube.com/channel/UCOGXhCH0L6X7S5vgeeSrcWA
Bootaini Catering,+96599150666,,,,Mahboula,Al-Ahmadi Governorate,Kuwait,Bootaini Catering Which is Located in Kuwait,http://www.b6aini.com/,https://kuwaitlocal.com/business/bootaini-catering,https://www.facebook.com/Bootaini.catering/info/?entry_point=page_nav_about_item&tab=page_info,,,,
Taal Salmiya,,,,,"Al Argan Complex,Al Beda Roundabout,Taawan Street,Salmiya",Hawalli Governorate,Kuwait,"TAAL is inspired by the people of India and blends its theme with India\'s Rich Traditional Cuisine and the Global Culinary Impressions. Its extensive menu offers a selection of classic recipes of kebabs, Creative flavors, Fragrant biryanis and Trendy Indian desserts. The menu selection offers a wide choice of Salads, Starters, Soups, Grills, Main course dishes, and desserts along with refreshing Mocktails, which are done using ingredients of a stunning top-drawer quality to give you a meal t...",http://www.taalq8.com,https://kuwaitlocal.com/business/taal-salmiya,https://www.facebook.com/TaalQ8,http://instagram.com/TaalQ8,,https://twitter.com/TaalQ8,
Anjappar Farwaniya,+96524753940,,,,Farwaniya,Al Farwaniyah Governorate,Kuwait,Anjappar Farwaniya,https://www.anjapparkuwait.com,https://kuwaitlocal.com/business/anjappar-farwaniya,https://facebook.com/anjapparkuwait,,,,https://youtube.com/anjappar
Star Udhayam Restaurant,+96598765142,+96598765143,+96598765144,,"Block 1A, Street 134, Building 345,Mahboula",Al-Ahmadi Governorate,Kuwait,"Drawing inspiration from the colourful culinary traditions of India, we bring to you a modern dining and takeaway experience where our traditional family recipes are winning your hearts. With more than 15 years of experience, Star Udhayam combines the art of fine cuisine with exceptional customer service, transforming our classic restaurant into an ideal setting for family events. Our passionate team of chefs work tirelessly in our onsite kitchen to serve up simple and fresh take away meal id...",http://www.starudhayam.com/,https://kuwaitlocal.com/business/star-udhayam-restaurant,https://www.facebook.com/starudhayam/,,,,
Ashas Restaurant - Al Rai,+965 24954695,,,,"The Avenues Mall,Al-Rai",Al Farwaniyah Governorate,Kuwait,Ashas Restaurant is Located in Kuwait,http://www.ashasrestaurants.com/,https://kuwaitlocal.com/business/ashas-restaurant-al-rai,,,,,
Deccan Darbar Hyderabadi Restaurant,+96565658852,,,,"Block 2 Street 221 Building 201,Mahboula",Al-Ahmadi Governorate,Kuwait,Hyderabadi Dum Biryani Haleem Dalcha Bagara,https://www.deccandarbaar.com,https://kuwaitlocal.com/business/deccan-darbar-hyderabadi-restaurant,,,,,
Kerala Express,+96598766800,,,keralaexpressrest@gmail.com,"Olive Mart Building, Ras Al Khaimah St, Kuwait,Fahaheel",Al-Ahmadi Governorate,Kuwait,"Kerala Express: Your Ideal Destination for Intimate Gatherings and Authentic Kerala Cuisine About Kerala Express Kerala Express offers a delightful culinary experience, transporting your taste buds straight to the heart of Kerala. Specializing in authentic Kerala-style dishes, both vegetarian and non-vegetarian, this restaurant is the perfect spot for intimate gatherings and small parties. Whether you're celebrating a special occasion or simply enjoying a meal with close friends and family, K...",https://www.restaurantlogin.com/api/fb/_w0a8_q,https://kuwaitlocal.com/business/kerala-express,,,,,
