Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Certikin Middle East Fze,+971 48861404,,,Box No. 261326,Dubai Others,Dubai,UAE,"Cepex will meet all your fluid handling requirements. The main Cepex product ranges are: PVC-U and PVC-C fittings and valves, PP fittings and valves, and valve boxes.The Cepex products are conceived with the goal of offering solutions to the needs of such diverse as Industry, Irrigation, Water Distribution and Construction.",,,591,https://uae.arablocal.com/business/view/certikin-middle-east-fze,,,,,
Oceano,+971 43461961,,,Area :,Dubai Others,Dubai,UAE,"Oceano is located in Dubai, UAE. Company is working in Clothing and Accessories, Boutiques business activities.",,,588,https://uae.arablocal.com/business/view/oceano,,,,,
Magic Shoes,+971 26315353,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Magic Shoes is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories, Shoes, Kids, Kids Shoes business activities.",,,588,https://uae.arablocal.com/business/view/magic-shoes,,,,,
History Gate Readymade Garments,+971 26424268,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"History Gate Readymade Garments is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities.",,,586,https://uae.arablocal.com/business/view/history-gate-readymade-garments,,,,,
Al Najaf Trading Est,+971 26741090,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Al Najaf Trading Est,,,585,https://uae.arablocal.com/business/view/al-najaf-trading-est,,,,,
Go Express Trading Llc,+971 2288608,,,Box No. 171549,Dubai Others,Dubai,UAE,"GO EXPRESS TRADING LLC is located in Dubai, UAE. Company is working in Advertising, Newspaper Publishers, Trading, Agarwood & Incense Trading, Online Content, News, Clothing and Accessories, Gifts, Greeting Cards, Jewellery, Imitation Jewellery, Textile, Handbags & Leather Products business activities.",,,584,https://uae.arablocal.com/business/view/go-express-trading-llc,,,,,
Hyplas Plastic Bag Converting Machinery,+971 65579029,,,"Block # Q3-67,",Saif Zone,Sharjah,UAE,Hyplas Plastic Bag Converting Machinery,,,584,https://uae.arablocal.com/business/view/hyplas-plastic-bag-converting-machinery,,,,,
Emaan International Llc,+971 42367290,,,"Baniyas Sqr, P.O. Box: 40730",Deira,Dubai,UAE,"EMAAN INTERNATIONAL LLC is located in Dubai, UAE. Company is working in Advertising, Newspaper Publishers, Online Content, News, Beauty Products, Cosmetics, Clothing and Accessories, Textile business activities.",,,583,https://uae.arablocal.com/business/view/emaan-international--llc,,,,,
Al Shahama Furniture Industry LLC,+971 43387040,,,Box No. 11119,Dubai Others,Dubai,UAE,"AL SHAHAMA FURNITURE INDUSTRY LLC is located in Dubai, UAE. Company is working in General Office Services, Office Furniture, Wooden Products business activities. If you have any questions, please contact us",,,583,https://uae.arablocal.com/business/view/al-shahama-furniture-industry--llc,,,,,
Egetaepper,+971 43756490,,,"JBC 3, Unit # 2406,",Jumeirah Lakes towers,Dubai,UAE,,,,582,https://uae.arablocal.com/business/view/egetaepper,,,,,
Al Dar Eastern Trading LLC,+971 3536647,,,Box No. 45144,Dubai Others,Dubai,UAE,"AL DAR EASTERN TRADING LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Textile, Handbags & Leather Products business activities. If you have any questions, please contact us",,,580,https://uae.arablocal.com/business/view/al-dar-eastern-trading-llc,,,,,
Mohammed Rahmat Trading Establishment,+971 42732301,+971 2725093,,Po Box 34672,Dubai Others,Dubai,UAE,"MOHD. RAHMAT TRADING ESTABLISHMENT is located in Dubai, UAE. Company is working in General Office Services, General Business, Clothing and Accessories business activities.",,,579,https://uae.arablocal.com/business/view/mohammed-rahmat-trading-establishment,,,,,
Al Zamala Turning and Steel Workshop,+971 43332369,,,Dubai,Ras Al Khor Industrial Area 2,Dubai,UAE,Al Zamala Turning and Steel Workshop,,,579,https://uae.arablocal.com/business/view/al-zamala-turning-and-steel-workshop,,,,,
Le Brite Trading Co Llc,+971 7216237,,,14262,Al Ain,Abu Dhabi,UAE,"LE BRITE TRADING CO - LLC is located in Al Ain, UAE. Company is working in Clothing and Accessories business activities.",,,577,https://uae.arablocal.com/business/view/le-brite-trading-co---llc,,,,,
Henan Trading Co Llc,+971 2276074,,,P.O Box 171638,Dubai Others,Dubai,UAE,"HENAN TRADING CO. (L.L.C) is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,576,https://uae.arablocal.com/business/view/henan-trading-co-llc,,,,,
Al Kanaa Furniture and Decor Est,+971 37642957,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Kanaa Furniture and Decor Est,,,576,https://uae.arablocal.com/business/view/al-kanaa-furniture-and-decor-est,,,,,
Proform Furniture Trading Llc,+971 3232602,,,Box No. 52143,Dubai Others,Dubai,UAE,"PROFORM FURNITURE TRADING LLC is located in Dubai, UAE. Company is working in Trading, Curtains & Upholstery Fabrics, Furniture, Home and Garden, Decoration Materials & Partitions, Interior Design business activities.",,,575,https://uae.arablocal.com/business/view/proform-furniture-trading-llc,,,,,
Al Attar Trading LLC,+971 42257784,,,"Ground Floor, Al Madina Supermarket Building, Shop # 4, Frij Al Murar,",Deira,Dubai,UAE,Al Attar Trading LLC,,,575,https://uae.arablocal.com/business/view/al-attar-trading-llc,,,,,
Kunouz Textiles Company Limited W L L,+971 6224452,,,44068,Abu Dhabi City,Abu Dhabi,UAE,"KUNOUZ TEXTILES COMPANY LIMITED W L L is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,574,https://uae.arablocal.com/business/view/kunouz-textiles-company-limited-w-l-l,,,,,
Polish Boutique,+971 6542156,,,P.O. Box: 5670,Sharjah Others,Sharjah,UAE,"POLISH BOUTIQUE is located in Sharjah, UAE. Company is working in Professional Services, Tailors, Clothing and Accessories, Boutiques business activities.",,,573,https://uae.arablocal.com/business/view/polish-boutique,,,,,
Feather Touch Decoration Llc,+971 2684848,,,Box No. 13314,Dubai Others,Dubai,UAE,"FEATHER TOUCH DECORATION LLC is located in Dubai, UAE. Company is working in Carpentry & Flooring, Contractors business activities.",,,571,https://uae.arablocal.com/business/view/feather-touch-decoration--llc,,,,,
Jaswant Singh Technical Works Llc,+971 3332596,,,Box No. 16042,Dubai Others,Dubai,UAE,"JASWANT SINGH TECHNICAL WORKS LLC is located in Dubai, UAE. Company is working in Professional Services, Carpentry & Flooring, Contractors, Plumbing & Sanitary business activities.",,,568,https://uae.arablocal.com/business/view/jaswant-singh-technical-works-llc,,,,,
Talal Supermarket Al sabkha Dubai,+971 42260503,,,Dubai,Al Sabkha,Dubai,UAE,Talal Supermarket Al sabkha Dubai,,,570,https://uae.arablocal.com/business/view/talal-supermarket-al-sabkha-dubai,,,,,
Al Danube General Trading,+971 65743332,,,Sharjah,Al Majaaz 1,Sharjah,UAE,Al Danube General Trading,,,568,https://uae.arablocal.com/business/view/al-danube-general-trading,,,,,
Modesty Trading Llc,+971 42356262,,,Box No. 3778,Dubai Others,Dubai,UAE,"MODESTY TRADING LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes business activities.",,,567,https://uae.arablocal.com/business/view/modesty-trading-llc,,,,,
Albo International Electromechanical And Marine Services,+971 3960993,,,P.O Box 66311,Dubai Others,Dubai,UAE,"ALBO INTERNATIONAL ELECTROMECHANICAL & MARINE SERV is located in Dubai, UAE. Company is working in Carpentry & Flooring business activities.",,,567,https://uae.arablocal.com/business/view/albo-international-electromechanical--and-marine-services,,,,,
Al Ikram Public Kitchen,+971 65221139,,,Po Box 40885,Sharjah Others,Sharjah,UAE,"AL IKRAM PUBLIC KITCHEN is located in Sharjah, UAE. Company is working in Wooden Products business activities.",,,566,https://uae.arablocal.com/business/view/al-ikram-public-kitchen,,,,,
Zaharat Al Khaleej Furniture,+971 26727471,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Zaharat Al Khaleej Furniture,,,566,https://uae.arablocal.com/business/view/zaharat-al-khaleej-furniture,,,,,
Shams Al Bawadi Insulation Systems,+971 42262471,,,Dubai,Al Sabkha,Dubai,UAE,Shams Al Bawadi Insulation Systems,,,566,https://uae.arablocal.com/business/view/shams-al-bawadi-insulation-systems,,,,,
Blue Stream Environmental Technology LLC,+971 43393199,,,"Warehouse # 6, Sheikh Zayed Road, 3rd Interchange,",Al Quoz Industrial Area 1,Dubai,UAE,Blue Stream Environmental Technology LLC,,,807,https://uae.arablocal.com/business/view/blue-stream-environmental-technology-llc,,,,,
Floortech Interiors FZC Dubai,+971 43881815,,,"2nd Floor, Emgate Building, Office # 205, Shk. Zayed Road,",Al Wasl,Dubai,UAE,Floortech Interiors FZC Dubai,,,563,https://uae.arablocal.com/business/view/floortech-interiors-fzc-dubai,,,,,
Hashim Mohd Khalaf Trading Establishment Branch,,,,Po Box 12322,Jebel Ali Freezone,Dubai,UAE,"HASHIM MOHD. KHALAF TRADING ESTABLISHMENT is located in Dubai, UAE. Company is working in General Office Services, General Business, Beauty Products, Beauty Suppliers, Cosmetics, Industrial Equipment, Clothing and Accessories business activities.",,,564,https://uae.arablocal.com/business/view/hashim-mohd-khalaf-trading-establishment-branch,,,,,
Dom Interiors Llc,+971 3411885,,,Box No. 37532,Dubai Others,Dubai,UAE,"DOM INTERIORS LLC is located in Dubai, UAE. Company is working in Carpentry & Flooring, Contractors, Decoration Materials & Partitions business activities.",,,562,https://uae.arablocal.com/business/view/dom-interiors--llc,,,,,
Nasser Modern Sotres Branch,+971 37321674,,,Area :,Al Ain,Abu Dhabi,UAE,"Nasser Modern Sotres - Branch is located in Al Ain, UAE. Company is working in Clothing and Accessories business activities.",,,561,https://uae.arablocal.com/business/view/nasser-modern-sotres---branch,,,,,
Adwaa Al Khaleej Contracting And General Maintenance,+971 6183019,,,P.O Box 19688,Dubai Others,Dubai,UAE,"ADWAA AL KHALEEJ CONTRACTING & GENERAL MAINTENANCE is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,562,https://uae.arablocal.com/business/view/adwaa-al-khaleej-contracting-and-general-maintenance,,,,,
Walid Mohd Bakheet Grocery,+971 43966692,,,Dubai,Al Karama,Dubai,UAE,Walid Mohd Bakheet Grocery,,,561,https://uae.arablocal.com/business/view/walid-mohd-bakheet-grocery,,,,,
Aviva Carpets,+971 48835402,,,"Jebel Ali,",Jebel Ali,Dubai,UAE,Aviva Carpets,,,559,https://uae.arablocal.com/business/view/aviva-carpets,,,,,
Al Idhhar Trading Est,+971 65645250,,,Sharjah,Al Mujarrah,Sharjah,UAE,Al Idhhar Trading Est,,,559,https://uae.arablocal.com/business/view/al-idhhar-trading-est,,,,,
Abdul Rahim Store for Bags and Shoes,+971 92220533,,,Fujairah,Fujairah,Fujairah,UAE,Abdul Rahim Store for Bags and Shoes,,,558,https://uae.arablocal.com/business/view/abdul-rahim-store-for-bags-and-shoes,,,,,
Oasis Crown Technical Contracting Llc,+971 3930405,,,Box No. 44994,Dubai Others,Dubai,UAE,"OASIS CROWN TECHNICAL CONTRACTING LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Building Materials, Carpentry & Flooring, Contractors, Electrical Fitting, Electromechanical Equipment Installation, Plumbing & Sanitary, Cleaning business activities.",,,556,https://uae.arablocal.com/business/view/oasis-crown-technical-contracting-llc,,,,,
Rajgeet International Traders,+971 43534800,,,"102, Rulers building, Opposite Bank of Baroda, , P.O. Box: 12782",Bur Dubai,Dubai,UAE,"RAJGEET INTERNATIONAL TRADERS is located in Dubai, UAE. Company is working in General Office Services, General Business, Clothing and Accessories business activities. If you have any questions, please contact us",,,556,https://uae.arablocal.com/business/view/rajgeet-international-traders,,,,,
Midline Emirates Llc,+971 2285244,,,P.O Box 40401,Dubai Others,Dubai,UAE,"MIDLINE EMIRATES (L.L.C) is located in Dubai, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,555,https://uae.arablocal.com/business/view/midline-emirates-llc,,,,,
Fashion For Less Br Of Majid Al Futtaim Fashion Llc,+971 42942444,,,Box No. 60811,Dubai Others,Dubai,UAE,"FASHION FOR LESS (BR. OF MAJID AL FUTTAIM FASHION LLC) is located in Dubai, UAE. Company is working in Clothing and Accessories, Mens Clothes, Shoes, Sportswear business activities.",,,553,https://uae.arablocal.com/business/view/fashion-for-less-br-of-majid-al-futtaim-fashion--llc,,,,,
Ariya Boutique W L L,+971 26334808,,,Zone 1E9-02 -,Abu Dhabi City,Abu Dhabi,UAE,"ARIYA BOUTIQUE W L L is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities.",,,551,https://uae.arablocal.com/business/view/ariya-boutique-w-l-l,,,,,
Al Astal Copying Designing and Stamps Service,+971 67401164,,,Sharjah,Al Jerf Industrial 1,Ajman,UAE,Al Astal Copying Designing and Stamps Service,,,551,https://uae.arablocal.com/business/view/al-astal-copying-designing-and-stamps-service,,,,,
Shahzaib Technical Services Llc,+971 2340437,,,Box No. 55288,Dubai Others,Dubai,UAE,"SHAHZAIB TECHNICAL SERVICES LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Carpentry & Flooring, Contractors, Electromechanical Equipment Installation, Plumbing & Sanitary business activities.",,,549,https://uae.arablocal.com/business/view/shahzaib-technical-services-llc,,,,,
SAS Power Industry FZC,+971 72213402,,,Ras Al Khaimah,Al Qusaidat,Ras Al Khaimah,UAE,SAS Power Industry FZC,,,549,https://uae.arablocal.com/business/view/sas-power-industry-fzc,,,,,
Green Dress Trading Llc,+971 3535358,,,Box No. 45222,Dubai Others,Dubai,UAE,"GREEN DRESS TRADING LLC is located in Dubai, UAE. Company is working in Advertising, Newspaper Publishers, Trading, Blankets, Towels, Linens Trading, Online Content, News, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Textile, Handbags & Leather Products business activities.",,,548,https://uae.arablocal.com/business/view/green-dress-trading-llc,,,,,
H Flo Outlet,+971 44264906,,,"Outlet Mall, Shop F125, Road, Land",Dubai Land,Dubai,UAE,"H Flo Outlet is located in Dubai, UAE. Company is working in Clothing and Accessories, Boutiques business activities.",,,547,https://uae.arablocal.com/business/view/h-flo-outlet,,,,,
Fashion Tree Trading Co Llc,+971 3538806,,,Box No. 45199,Dubai Others,Dubai,UAE,"FASHION TREE TRADING CO LLC is located in Dubai, UAE. Company is working in Advertising, Newspaper Publishers, Trading, Blankets, Towels, Linens Trading, Online Content, News, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery, Textile, Handbags & Leather Products business activities. If you have any questions, please contact us",,,544,https://uae.arablocal.com/business/view/fashion-tree-trading-co--llc,,,,,
Hamda Yousuf Plastic Bags Est,+971 43935672,,,Dubai,Al Souk Al Kabeer,Dubai,UAE,Hamda Yousuf Plastic Bags Est,,,547,https://uae.arablocal.com/business/view/hamda-yousuf-plastic-bags-est,,,,,
Prestige Furniture,+971 65733550,,,Al Wahda Street,Al Wahda,Sharjah,UAE,"PRESTIGE FURNITURE is located in Sharjah, UAE. Company is working in Advertising, Newspaper Publishers, Trading, Curtains & Upholstery Fabrics, Online Content, News, Furniture, Home and Garden, Decoration Materials & Partitions business activities. If you have any questions, please contact us",,,543,https://uae.arablocal.com/business/view/prestige-furniture,,,,,
Habash Carpentry And Floor Fixing Llc,+971 2678120,,,Box No. 231419,Dubai Others,Dubai,UAE,"HABASH CARPENTRY & FLOOR FIXING LLC is located in Dubai, UAE. Company is working in Metal Products, Carpentry & Flooring, Contractors, Electromechanical Equipment Installation business activities.",,,543,https://uae.arablocal.com/business/view/habash-carpentry--and--floor-fixing-llc,,,,,
Masafi Co. L.L.C,+971 43465959,,,"Office M08, Mezzanine Floor, Commercial Bank Of Dubai Building, Sheikh Zayed Street 4th Street, Al Quoz Ind. Third, Al Quoz, Dubai",Al Quoz,Dubai,UAE,Masafi Co. L.L.C,,,543,https://uae.arablocal.com/business/view/masafi-co-l-l-c,,,,,
Arabian Premiers Trading,+971 42637900,,,"Office # 210, 2nd Floor, Mozma Building, Al Nahda Street,",Al Qusais,Dubai,UAE,Arabian Premiers Trading,,,541,https://uae.arablocal.com/business/view/arabian-premiers-trading,,,,,
Al Huria Stamps Workshop,+971 65612942,,,Sharjah,Al Majeirah,Sharjah,UAE,Al Huria Stamps Workshop,,,539,https://uae.arablocal.com/business/view/al-huria-stamps-workshop,,,,,
Rnk Interiors Llc,+971 6558338,,,Box No. 46705,Dubai Others,Dubai,UAE,"R.N.K INTERIORS LLC is located in Dubai, UAE. Company is working in Carpentry & Flooring, Interior Design business activities.",,,536,https://uae.arablocal.com/business/view/rnk-interiors-llc,,,,,
Sanad Building Contracting,+971 2960001,,,Box No. 91519,Dubai Others,Dubai,UAE,"SANAD BUILDING CONTRACTING is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Home and Garden, Building Maintenance, Carpentry & Flooring, Contractors business activities.",,,533,https://uae.arablocal.com/business/view/sanad-building-contracting,,,,,
Sadadt Trading Shop,+971 5836850,,,76490,Abu Dhabi City,Abu Dhabi,UAE,"SADADT TRADING SHOP is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities.",,,533,https://uae.arablocal.com/business/view/sadadt-trading-shop,,,,,
Al Oroba Decoration,+971 67400981,,,Area :,Ajman Others,Ajman,UAE,"Al Oroba Decoration is located in Ajman, UAE. Company is working in Decoration Materials & Partitions business activities. If you have any questions, please contact us",,,532,https://uae.arablocal.com/business/view/al-oroba-decoration,,,,,
Al Ward Trading Company LLC,+971 3591091,,,Box No. 30984,Dubai Others,Dubai,UAE,"AL WARD TRADING CO. LLC is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading, Gifts, Jewellery, Imitation Jewellery, Handbags & Leather Products business activities. If you have any questions, please contact us",,,531,https://uae.arablocal.com/business/view/al-ward-trading-company--llc,,,,,
Prestige Gallery FZCO Sharjah,+971 65733550,,,Sharjah,Industrial Area 11,Sharjah,UAE,Prestige Gallery FZCO Sharjah,,,530,https://uae.arablocal.com/business/view/prestige-gallery-fzco-sharjah,,,,,
Mushtaq Ahmed Company New Tailoring House,+971 26316014,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Mushtaq Ahmed Company (new Tailoring House) is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories, Mens Clothes business activities.",,,527,https://uae.arablocal.com/business/view/mushtaq-ahmed-company-new-tailoring-house,,,,,
Al Bustan for Curtains and Decor,+971 5635807,,,"Sheikh Zayed Street Maysaloon, Sharjah",Maysaloon,Sharjah,UAE,Al Bustan for Curtains and Decor,,,527,https://uae.arablocal.com/business/view/al-bustan-for-curtains-and-decor,,,,,
Mohammed Al Majidi Exhibition,+971 65591048,,,"Opposite City Centre, St, P.O. Box: 7075",Al Wahda,Sharjah,UAE,"Mohammed Al Majidi Exhibition is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,526,https://uae.arablocal.com/business/view/mohammed-al-majidi-exhibition,,,,,
Luzern Trading Company Llc,+971 65337707,,,"Near Lacnor Juice Factory, 4, P.O. Box: 2861",Industrial Area 4,Sharjah,UAE,"Luzern Trading Company LLC is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,524,https://uae.arablocal.com/business/view/luzern-trading-company-llc,,,,,
Nayyer Carpet Industries Ltd,+971 48817572,,,"Jebel Ali,",Jebel Ali,Dubai,UAE,Nayyer Carpet Industries Ltd,,,523,https://uae.arablocal.com/business/view/nayyer-carpet-industries-ltd,,,,,
Moon City Sewing Machine Trading EST,+971 26210185,,,"Al Manhal,",Abu Dhabi City,Abu Dhabi,UAE,Moon City Sewing Machine Trading EST,,,523,https://uae.arablocal.com/business/view/moon-city-sewing-machine-trading-est,,,,,
Bilal Engineering Workshop,+971 43332972,+971 555278697,,"Street # 29, Ras Al Khor Industrial Area # 2,",Ras Al Khor,Dubai,UAE,Bilal Engineering Workshop,,,523,https://uae.arablocal.com/business/view/bilal-engineering-workshop,,,,,
Moon Plaza Trading,+971 65626102,,,Area :,Sharjah Others,Sharjah,UAE,"Moon Plaza Trading is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,522,https://uae.arablocal.com/business/view/moon-plaza-trading,,,,,
Victoria Travel Agency,+971 42264770,,,Dubai,Deira,Dubai,UAE,Victoria Travel Agency,,,522,https://uae.arablocal.com/business/view/victoria-travel-agency,,,,,
Millet Trading Co Llc,+971 2293500,,,Box No. 62389,Dubai Others,Dubai,UAE,"MILLET TRADING CO. LLC is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery, Handbags & Leather Products business activities.",,,522,https://uae.arablocal.com/business/view/millet-trading-co-llc,,,,,
Al Reyami Joinery And Decor,+971 25516001,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Al Reyami Joinery & Decor is located in Abu Dhabi, UAE. Company is working in Carpentry & Flooring business activities. If you have any questions, please contact us",,,1056,https://uae.arablocal.com/business/view/al-reyami-joinery--and-decor,,,,,
Emirates Steel Wool Manufacturing Est,+971 25554544,,,"Ground Floor, ESWM Building,",Musaffah,Abu Dhabi,UAE,Emirates Steel Wool Manufacturing Est,http://www.eswhome.com/web/,,2108,https://uae.arablocal.com/business/view/emirates-steel-wool-manufacturing-est,,,,,
Bludan Abaya,+971 37553669,,,P.O. Box: 64071,Jebel Ali Freezone,Dubai,UAE,"Bludan Abaya is located in Al Ain, UAE. Company is working in Clothing and Accessories business activities.",http://www.bws.dk,,1583,https://uae.arablocal.com/business/view/bludan-abaya,,,,,
Marina Mineral Water Co LLC,+971 67484273,,sales@marinawater.ae,"Ground Floor, Shed # 01, New Industrial Area, Ajman",New Industrial Area,Ajman,UAE,Marina Mineral Water Co LLC,http://www.marinawater.ae/,,1231,https://uae.arablocal.com/business/view/marina-mineral-water-co-llc,https://www.facebook.com/marinamineralwater/,https://instagram.com/marinamineralwater,,https://twitter.com/marinawateruae,
Dbsouq,+971 720315265,,,"The Fe Mall Online Retail and E Commerce Trading FZC Business Centre 2, No 203, Free Trade Zone",RAK Free Trade Zone,Ras Al Khaimah,UAE,"Welcome to DBSouq.com – Your one-stop-destination for anything and everything online in the Middle East! Before we get you apprised of about who we are and what we intend to do, let’s take you through our ubiquitous online shopping website offering products in a diverse range of categories for men, women, kids and your other needs as well as services also. Through this, let us get you acquainted with this trend called online shopping or e-shopping. Online shopping has indeed taken the consume...",http://www.dbsouq.com,,1076,https://uae.arablocal.com/business/view/dbsouq,,,,,
Mona Electronics LLC.,+971 42230270,+971 502667860,,"602, Crystal Building, Baniyas Square",Deira,Dubai,UAE,"MonaWatch is a exclusive watch store powered by Mona Electronics LLC. It was founded in 1989 with a vision of distributing high quality international branded watches to the local market in the UAE. Since our humble beginning, Mona Electronics LLC has now grown to become one of the biggest watch distribution companies in UAE with over 30 exclusive brands and over 25 years of market experience.MonaWatch is a trusted luxury watch shop in Dubai that makes it the leading choice among customers. At...",http://www.monawatch.com,,975,https://uae.arablocal.com/business/view/mona-electronics-llc,https://www.facebook.com/monawatchae/,https://www.instagram.com/mona.watch/,,,
Curtains And Blinds Dubai,+971 566009626,,,"Street adress 43 28b Street, AlQuoz Industrial area 3, near to Element E4 Interiors, Showroom and Workshop #4",Al Quoz Industrial Area 3,Dubai,UAE,"Pick Out The Curtains And Blinds From Varieties Home Curtains Dubai, Modern Curtains Dubai, House Curtains Dubai, Sheer Curtains Dubai, Good Curtains Dubai, York Curtains Dubai, Office Curtains Dubai, Where To Buy Curtains In Dubai , Curtain Fixing Dubai, Curtains Dubai Satwa, Best Curtains In Dubai, Custom Curtains Dubai, Blackout Curtains Dubai, Curtain Installation Dubai, Curtain Shops In Dubai, Curtain Shops In Karama Dubai, Best Curtain Shop In Dubai, Curtain Stores Dubai, Curtains Dubai...",http://curtainsandblindsdubai.ae,,936,https://uae.arablocal.com/business/view/curtains-and-blinds-dubai,,,,,
Haworth Middle East,+971 3389500,,,Box No. 262103,Jebel Ali Freezone,Dubai,UAE,"HAWORTH MIDDLE EAST is located in Jebel Ali Free Zone, UAE. Company is working in Furniture, Metal Products, Decoration Materials & Partitions business activities. Visit our company website for more information about us : http://www.haworth.com",http://www.haworth.com,,917,https://uae.arablocal.com/business/view/haworth-middle-east,,,,,
Bma International,+971 48811700,,,Area :,Sharjah City,Sharjah,UAE,"Bma International is located in Dubai, UAE. Company is working in Clothing and Accessories business activities. Visit our company website for more information about us : http://www.bma.bz If you have any questions, please contact us",http://boxofjoyflowers.com,,905,https://uae.arablocal.com/business/view/bma-international,,,,,
Dhalumal Packaging Industries LLC,+971 72220811,+971 557507711,,"Al Ghayl,",Al Ghayl,Ras Al Khaimah,UAE,Dhalumal Packaging Industries LLC,http://www.dhalumalpackaging.com/,,903,https://uae.arablocal.com/business/view/dhalumal-packaging-industries-llc,,,,,
CASIO MEA,,,,Jafza View 19 - Downtown Street - Mina Jebel Ali - Dubai - United Arab Emirates,Jebel Ali,Dubai,UAE,"CASIO-MEA creates innovative timepieces products with innovative functions, assists people in their daily lives, and keeps society moving forward. CASIO-MEA is an official online CASIO watches store in UAE that offers a wide range of fashion watches for men and women with any selection of styles and at best prices.",http://casio-mea.com/,,900,https://uae.arablocal.com/business/view/casio-mea,https://www.facebook.com/CASIOGSHOCKMiddleEast/,https://www.instagram.com/gshock_middleeast/,https://www.linkedin.com/company/casio-middle-east/,,https://www.youtube.com/channel/UCEjuKobFjYovntHOhG_AGcw
Blue Lagoon Mineral Water Trading LLC,+971 26442210,+971 558288321,,"Blue Lagoon Building, Plot No # 68, Mussafah (M-16),",Musaffah,Abu Dhabi,UAE,Blue Lagoon Mineral Water Trading LLC,http://www.bluelagoonwater.ae/,,874,https://uae.arablocal.com/business/view/blue-lagoon-mineral-water-trading-llc,,,,,
Pertech Middle East LLC Dubai,+971 43408226,+971 504599309,,"Al Quoz Fourth,",Al Quoz,Dubai,UAE,Pertech Middle East LLC Dubai,http://www.pertechme.com/,,744,https://uae.arablocal.com/business/view/pertech-middle-east-llc-dubai,,,,,
Five Star Home Furniture,+971 505686826,,,"Office 902, Mai Towers Al Nahda 1 Dubai",Al Nahda 1,Dubai,UAE,We are the furniture manufactures are our main sale platform are our online furniture store which is “www.fshfurniture.ae“. We have created our eCommerce website to create available services for our customers in the most convenient way. Along our online stores we also have our retails offices and stores to display quality and fabrics to our customers.Our Products Arm ChairCenter TableChaise LoungeDaybedEnd Tablehall CabinetsSectional SofaSofa & CouchesTv Cabinets,http://fshfurniture.ae/,5,726,https://uae.arablocal.com/business/view/five-star-home-furniture,https://www.facebook.com/fshfurniture,https://www.instagram.com/fivestarhomefurniture/,https://www.linkedin.com/company/fsh-furniture/,https://twitter.com/5starhomef,
Bel Hasa Joinery And Decoration Co LLC Branch,+971 42857041,,,P.O Box 60134,Al Karama,Dubai,UAE,"Bel Hasa Joinery & Decoration Co. (L.L.C) Branch is located in Dubai, UAE. Company is working in Wooden Products business activities. If you have any questions, please contact us",http://www.bestdesertsafaridubai.com,,705,https://uae.arablocal.com/business/view/bel-hasa-joinery-and-decoration-co-llc-branch,,,,,
Depa Industrial Dig Llc,+971 8850191,,,Box No. 6537,Dubai Others,Dubai,UAE,"DEPA INDUSTRIAL (DIG) L.L.C is located in Dubai, UAE. Company is working in Furniture, Metal Products, Wooden Products business activities. Visit our company website for more information about us : http://www.dpa.com",http://www.dpa.com,,678,https://uae.arablocal.com/business/view/depa-industrial-dig--llc,,,,,
