Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Fakhamt Al Hamra For Furnished Suites,+966 126577761,,,"Al Andalus Street, Al Hamrah Dist, Jeddah, Al Hamrah Dist, Jeddah, Makkah Province, Saudi Arabia",Al Andalus Street,Makkah Province,Saudi Arabia,Fakhamt Al Hamra For Furnished Suites,,https://arablocal.com/business/view/fakhamt-al-hamra-for-furnished-suites,,,,,
Jumaira World For Hotel Suites,+966 138098734,,,"Bareed Dist., Dammam, Bareed Dist., Dammam, Eastern Province, Saudi Arabia",Bareed Dist.,Eastern Province,Saudi Arabia,Jumaira World For Hotel Suites,,https://arablocal.com/business/view/jumaira-world-for-hotel-suites,,,,,
Golden Prince For Hotel Suites,+966 163263325,,,"Buraida, Qassim, Buraida, Qassim, Qassim Province, Saudi Arabia",Buraida,Qassim Province,Saudi Arabia,Golden Prince For Hotel Suites,,https://arablocal.com/business/view/golden-prince-for-hotel-suites,,,,,
Rabiyat Al Jawhrah Hotel Suites And Villas,+966 138890060,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Rabiyat Al Jawhrah Hotel Suites And Villas,,https://arablocal.com/business/view/rabiyat-al-jawhrah-hotel-suites-and-villas,,,,,
Al Khelawi And Boudl Hotels,+966 138090099,,,"Bareed Dist., Dammam, Bareed Dist., Dammam, Eastern Province, Saudi Arabia",Bareed Dist.,Eastern Province,Saudi Arabia,Al Khelawi And Boudl Hotels,,https://arablocal.com/business/view/al-khelawi-and-boudl-hotels,,,,,
Durat Al Sharq 3 For Hotel Suites,+966 138931166,,,"Majd Road (5), Khobar City, Dammam, Khobar City, Dammam, Eastern Province, Saudi Arabia",Majd Road (5),Eastern Province,Saudi Arabia,Durat Al Sharq 3 For Hotel Suites,,https://arablocal.com/business/view/durat-al-sharq-3-for-hotel-suites,,,,,
Ghalyah For Hotel Suites,+966 138978855,,,"Abu Durar El Roumi St., Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Abu Durar El Roumi St.,Eastern Province,Saudi Arabia,Ghalyah For Hotel Suites,,https://arablocal.com/business/view/ghalyah-for-hotel-suites,,,,,
RonzaRose Sea View Al Khobar,,,,"Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Khobar Southern,Eastern Province,Saudi Arabia,RonzaRose Sea View Al Khobar,,https://arablocal.com/business/view/ronzarose-sea-view-al-khobar,,,,,
Ranaad Plaza Jeddah,+966 122651616,,,"Sabeen Street intersection Arbeen Street, Safa Dist., Jeddah, Safa Dist., Jeddah, Makkah Province, Saudi Arabia",Sabeen Street intersection Arbeen Street,Makkah Province,Saudi Arabia,Ranaad Plaza Jeddah,,https://arablocal.com/business/view/ranaad-plaza-jeddah,,,,,
Lily Hotel Suite Al Hasa,+966 135821621,,,"Ammar bin Yasir, Al Hazm Dt., Al Hasa, Al Hazm Dt., Al Hasa, Eastern Province, Saudi Arabia",Ammar bin Yasir,Eastern Province,Saudi Arabia,Lily Hotel Suite Al Hasa,,https://arablocal.com/business/view/lily-hotel-suite-al-hasa,,,,,
Al Kawther Hotel Suites,+966 138469900,,,"Al Badiya Dist., Dammam, Al Badiya Dist., Dammam, Eastern Province, Saudi Arabia",Al Badiya Dist.,Eastern Province,Saudi Arabia,Al Kawther Hotel Suites,,https://arablocal.com/business/view/al-kawther-hotel-suites,,,,,
Sanam Hotels Suites,,,,"Khourais Road Intersection Olya Street, Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Khourais Road Intersection Olya Street,Riyadh Province,Saudi Arabia,Sanam Hotels Suites,,https://arablocal.com/business/view/sanam-hotels-suites,,,,,
Mawasem Al Sharqiah Hotel Suites,+966 172298177,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Mawasem Al Sharqiah Hotel Suites,,https://arablocal.com/business/view/mawasem-al-sharqiah-hotel-suites,,,,,
Grandeur East For The Hotel Suites,+966 138673333,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Grandeur East For The Hotel Suites,,https://arablocal.com/business/view/grandeur-east-for-the-hotel-suites,,,,,
Qasr Al Maseef Furnished Residential Units,+966 163612222,,,"Ash Shabili Street, Al Ashrafiyyah District, Unaiza, Qassim, Unaiza, Qassim, Qassim Province, Saudi Arabia",Ash Shabili Street,Qassim Province,Saudi Arabia,Qasr Al Maseef Furnished Residential Units,,https://arablocal.com/business/view/qasr-al-maseef-furnished-residential-units,,,,,
Burjman Furnished Residential Units,+966 135315725,,,"Makkah, Mubarraz, Al Hasa, Mubarraz, Al Hasa, Eastern Province, Saudi Arabia",Makkah,Eastern Province,Saudi Arabia,Burjman Furnished Residential Units,,https://arablocal.com/business/view/burjman-furnished-residential-units,,,,,
Nahdah Palace For Hotel Suites,+966 112275559,,,"Salman Al Farsi St., Al Nahdha Dist., Riyadh, Al Nahdha Dist., Riyadh, Riyadh Province, Saudi Arabia",Salman Al Farsi St.,Riyadh Province,Saudi Arabia,Nahdah Palace For Hotel Suites,,https://arablocal.com/business/view/nahdah-palace-for-hotel-suites,,,,,
Ranaad Plaza Al Madinah Al Munawarah,+966 148489320,,,"Al Hezam, Al Madinah Al Munawarah, Al Hezam, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Al Hezam,Madinah Province,Saudi Arabia,Ranaad Plaza Al Madinah Al Munawarah,,https://arablocal.com/business/view/ranaad-plaza-al-madinah-al-munawarah,,,,,
Manazel Al Rayyan Hotel Suites,+966 114915036,,,"Ar Rayyan Dist., Riyadh, Ar Rayyan Dist., Riyadh, Riyadh Province, Saudi Arabia",Ar Rayyan Dist.,Riyadh Province,Saudi Arabia,Manazel Al Rayyan Hotel Suites,,https://arablocal.com/business/view/manazel-al-rayyan-hotel-suites,,,,,
Manazel Al Durah Hotel Suites,,,,"Second Ring, Al Madinah Al Munawarah, Second Ring, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Second Ring,Madinah Province,Saudi Arabia,Manazel Al Durah Hotel Suites,,https://arablocal.com/business/view/manazel-al-durah-hotel-suites,,,,,
Golden Prince No. 1,+966 163271111,,,"King Khalid Road, Ar Rabwah, Buraida, Qassim, Buraida, Qassim, Qassim Province, Saudi Arabia",King Khalid Road,Qassim Province,Saudi Arabia,Golden Prince No. 1,,https://arablocal.com/business/view/golden-prince-no-1,,,,,
Dyafah Al Saati Jeddah,+966 126398080,,,"Prince Majed Street, Aziziyah Dist., Jeddah, Aziziyah Dist., Jeddah, Makkah Province, Saudi Arabia",Prince Majed Street,Makkah Province,Saudi Arabia,Dyafah Al Saati Jeddah,,https://arablocal.com/business/view/dyafah-al-saati-jeddah,,,,,
Nuzl Tabah For Furnished Suites,+966 148590888,,,"Al Emam Al Bukhay Street, Aziziyah Dist., Al Madinah Al Munawarah, Aziziyah Dist., Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Al Emam Al Bukhay Street,Madinah Province,Saudi Arabia,Nuzl Tabah For Furnished Suites,,https://arablocal.com/business/view/nuzl-tabah-for-furnished-suites,,,,,
Al Jmairah Furnished Hotel Suites,+966 138895456,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Al Jmairah Furnished Hotel Suites,,https://arablocal.com/business/view/al-jmairah-furnished-hotel-suites,,,,,
Al Rashoudi For Furnished Apartments,+966 112780703,,,"Khaleej Dist., Riyadh, Khaleej Dist., Riyadh, Riyadh Province, Saudi Arabia",Khaleej Dist.,Riyadh Province,Saudi Arabia,Al Rashoudi For Furnished Apartments,,https://arablocal.com/business/view/al-rashoudi-for-furnished-apartments,,,,,
Marabia For Hotel Suites,+966 138460006,,,"King Fahd Road, Dammam, King Fahd Road, Dammam, Eastern Province, Saudi Arabia",King Fahd Road,Eastern Province,Saudi Arabia,Marabia For Hotel Suites,,https://arablocal.com/business/view/marabia-for-hotel-suites,,,,,
Al Dheyafah Hotel Suites,+966 114260131,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Al Dheyafah Hotel Suites,,https://arablocal.com/business/view/al-dheyafah-hotel-suites,,,,,
Mashaal Tabuk For Furnished Apartment,+966 508050905,,,"Prince Abdul Majed Street, Tabuk City, Tabuk, Tabuk City, Tabuk, Tabuk Province, Saudi Arabia",Prince Abdul Majed Street,Tabuk Province,Saudi Arabia,Mashaal Tabuk For Furnished Apartment,,https://arablocal.com/business/view/mashaal-tabuk-for-furnished-apartment,,,,,
Rotana Apartments For Hotel Suites,+966 138931000,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Rotana Apartments For Hotel Suites,,https://arablocal.com/business/view/rotana-apartments-for-hotel-suites,,,,,
Good Inn For Hotel Suites,+966 138993677,,,"Al Jawhara Street, Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Al Jawhara Street,Eastern Province,Saudi Arabia,Good Inn For Hotel Suites,,https://arablocal.com/business/view/good-inn-for-hotel-suites,,,,,
Serar Hotel,+966 126978762,,,"Salama Dist., Jeddah, Salama Dist., Jeddah, Makkah Province, Saudi Arabia",Salama Dist.,Makkah Province,Saudi Arabia,Serar Hotel,,https://arablocal.com/business/view/serar-hotel,,,,,
Al Dhiafah Hotel,+966 138670707,,,"Khobar North, Al Khobar, Khobar North, Al Khobar, Eastern Province, Saudi Arabia",Khobar North,Eastern Province,Saudi Arabia,Al Dhiafah Hotel,,https://arablocal.com/business/view/al-dhiafah-hotel,,,,,
Dar Samha Electric Materials Est.,+966 116520039,,,"Quwayiyah, Riyadh Governorates, Quwayiyah, Riyadh, Riyadh Province, Saudi Arabia",Quwayiyah,Riyadh Province,Saudi Arabia,Dar Samha Electric Materials Est.,,https://arablocal.com/business/view/dar-samha-electric-materials-est,,,,,
Fawanees Al Khaleej Hotel Apartments,+966 138937880,,,"Al Thuqbah, Al Khobar, Al Thuqbah, Al Khobar, Eastern Province, Saudi Arabia",Al Thuqbah,Eastern Province,Saudi Arabia,Fawanees Al Khaleej Hotel Apartments,,https://arablocal.com/business/view/fawanees-al-khaleej-hotel-apartments,,,,,
Orbit Palace For F. Hotel Apartments,+966 112286741,,,"King Abdullah Dist., Riyadh, King Abdullah Dist., Riyadh, Riyadh Province, Saudi Arabia",King Abdullah Dist.,Riyadh Province,Saudi Arabia,Orbit Palace For F. Hotel Apartments,,https://arablocal.com/business/view/orbit-palace-for-f-hotel-apartments,,,,,
Saqefat Taba,+966 148192111,,,"Madinah Center Area, Al Madinah Al Munawarah, Madinah Center Area, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Madinah Center Area,Madinah Province,Saudi Arabia,Saqefat Taba,,https://arablocal.com/business/view/saqefat-taba,,,,,
Kemam Sabaa Hotel,+966 138447090,,,"Prince Nayef Bin Abdulaziz Rd, Jalawia Dist., Dammam, Jalawia Dist., Dammam, Eastern Province, Saudi Arabia",Prince Nayef Bin Abdulaziz Rd,Eastern Province,Saudi Arabia,Kemam Sabaa Hotel,,https://arablocal.com/business/view/kemam-sabaa-hotel,,,,,
Cairo Hotel,+966 126479280,,,"Al Ja'amah Dist., Jeddah, Al Ja'amah Dist., Jeddah, Makkah Province, Saudi Arabia",Al Ja'amah Dist.,Makkah Province,Saudi Arabia,Cairo Hotel,,https://arablocal.com/business/view/cairo-hotel,,,,,
Ayam Hotel,+966 138356633,,,"Asraah Street, Al Shatei Dist., Dammam, Al Shatei Dist., Dammam, Eastern Province, Saudi Arabia",Asraah Street,Eastern Province,Saudi Arabia,,,https://arablocal.com/business/view/ayam-hotel,,,,,
Qasr Al Buhairah Hotel Suites,+966 133636720,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Qasr Al Buhairah Hotel Suites,,https://arablocal.com/business/view/qasr-al-buhairah-hotel-suites,,,,,
Coral International Hotel - Al Khobar,+966 138696666,,,"Custodian of the two Holy Mosques Rd., Al Thuqbah, Al Khobar, Al Thuqbah, Al Khobar, Eastern Province, Saudi Arabia",Custodian of the two Holy Mosques Rd.,Eastern Province,Saudi Arabia,Coral International Hotel - Al Khobar,,https://arablocal.com/business/view/coral-international-hotel-al-khobar,,,,,
Al Sundus Co. For Hotels And Furnished Suites,+966 148362700,,,"Harra Sharqiya, Al Madinah Al Munawarah, Harra Sharqiya, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Harra Sharqiya,Madinah Province,Saudi Arabia,Al Sundus Co. For Hotels And Furnished Suites,,https://arablocal.com/business/view/al-sundus-co-for-hotels-and-furnished-suites,,,,,
Armada Palace Hotel Suites,+966 112408388,,,"Ghurnatah Dist., Riyadh, Ghurnatah Dist., Riyadh, Riyadh Province, Saudi Arabia",Ghurnatah Dist.,Riyadh Province,Saudi Arabia,Armada Palace Hotel Suites,,https://arablocal.com/business/view/armada-palace-hotel-suites,,,,,
Al Hazm Furnished Hotel Apartments,+966 163339039,,,"Al Rass, Qassim, Al Rass, Qassim, Qassim Province, Saudi Arabia",Al Rass,Qassim Province,Saudi Arabia,Al Hazm Furnished Hotel Apartments,,https://arablocal.com/business/view/al-hazm-furnished-hotel-apartments,,,,,
Raihana Plaza Furnished Suites Hotel,+966 126620116,,,"Salama Dist., Jeddah, Salama Dist., Jeddah, Makkah Province, Saudi Arabia",Salama Dist.,Makkah Province,Saudi Arabia,Raihana Plaza Furnished Suites Hotel,,https://arablocal.com/business/view/raihana-plaza-furnished-suites-hotel,,,,,
Neyaara Hotels And Suites,+966 114654795,,,"Altkhassa Street, Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Altkhassa Street,Riyadh Province,Saudi Arabia,Neyaara Hotels And Suites,,https://arablocal.com/business/view/neyaara-hotels-and-suites,,,,,
Reef Leen Hotel Suites,+966 112634499,,,"Riyadh City, Riyadh, Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,Reef Leen Hotel Suites,,https://arablocal.com/business/view/reef-leen-hotel-suites,,,,,
Danat Taibah,+966 148154849,,,"Erwa Dist, Al Madinah Al Munawarah, Erwa Dist, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Erwa Dist,Madinah Province,Saudi Arabia,Danat Taibah,,https://arablocal.com/business/view/danat-taibah,,,,,
Crown Aziziyah For Hotel Suites,+966 137660404,,,"Hamra Dist, Al Khafji, Hamra Dist, Al Khafji, Eastern Province, Saudi Arabia",Hamra Dist,Eastern Province,Saudi Arabia,Crown Aziziyah For Hotel Suites,,https://arablocal.com/business/view/crown-aziziyah-for-hotel-suites,,,,,
International Advanced Factory For Prefab Houses,+966 126237148,,,"Jawharah Dist., Jeddah, Jawharah Dist., Jeddah, Makkah Province, Saudi Arabia",Jawharah Dist.,Makkah Province,Saudi Arabia,International Advanced Factory For Prefab Houses,,https://arablocal.com/business/view/international-advanced-factory-for-prefab-houses,,,,,
Al Khelaiwi And Bodel Hotels And Residential Units,+966 138995000,,,"Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Al Aqrabiyah Dist,Eastern Province,Saudi Arabia,Al Khelaiwi And Bodel Hotels And Residential Units,,https://arablocal.com/business/view/al-khelaiwi-and-bodel-hotels-and-residential-units,,,,,
Rwaq Hotel Suites Al Muqrazat Riyadh,+966 556918640,+966 112109595,,"Exit 10, Al Muqrazat Dist., Riyadh, Al Muqrazat Dist., Riyadh, Riyadh Province, Saudi Arabia",Exit 10,Riyadh Province,Saudi Arabia,Rwaq Hotel Suites Al Muqrazat Riyadh,,https://arablocal.com/business/view/rwaq-hotel-suites-al-muqrazat-riyadh,,,,,
Mayz Hotel Suites,+966 138957777,,,"Khobar City, Dammam, Khobar City, Dammam, Eastern Province, Saudi Arabia",Khobar City,Eastern Province,Saudi Arabia,Mayz Hotel Suites,,https://arablocal.com/business/view/mayz-hotel-suites,,,,,
Beach Palace Hotel,+966 126638666,,,"Eskandra Street, Al Hamrah Dist, Jeddah, Al Hamrah Dist, Jeddah, Makkah Province, Saudi Arabia",Eskandra Street,Makkah Province,Saudi Arabia,Beach Palace Hotel,,https://arablocal.com/business/view/beach-palace-hotel,,,,,
Al Khober Sea Furnished Suites,+966 138980303,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Al Khober Sea Furnished Suites,,https://arablocal.com/business/view/al-khober-sea-furnished-suites,,,,,
Al Jawharah Palace For Furnished Apartments,+966 172303313,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Al Jawharah Palace For Furnished Apartments,,https://arablocal.com/business/view/al-jawharah-palace-for-furnished-apartments,,,,,
United For Hotel Suites Touches,+966 126197770,,,"Tahliyah Dist., Jeddah, Tahliyah Dist., Jeddah, Makkah Province, Saudi Arabia",Tahliyah Dist.,Makkah Province,Saudi Arabia,United For Hotel Suites Touches,,https://arablocal.com/business/view/united-for-hotel-suites-touches,,,,,
Manazel Al Safa For Furnished Residential Units,+966 163260044,,,"Buraida, Qassim, Buraida, Qassim, Qassim Province, Saudi Arabia",Buraida,Qassim Province,Saudi Arabia,Manazel Al Safa For Furnished Residential Units,,https://arablocal.com/business/view/manazel-al-safa-for-furnished-residential-units,,,,,
Alargwan Forfurnitured Apartments,+966 138890606,,,"Algeria Street - intersection 11, Al Thuqbah, Al Khobar, Al Thuqbah, Al Khobar, Eastern Province, Saudi Arabia",Algeria Street - intersection 11,Eastern Province,Saudi Arabia,Alargwan Forfurnitured Apartments,,https://arablocal.com/business/view/alargwan-forfurnitured-apartments,,,,,
Al Yaqoutah Palace For Hotel Suites,+966 172297722,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Al Yaqoutah Palace For Hotel Suites,,https://arablocal.com/business/view/al-yaqoutah-palace-for-hotel-suites,,,,,
Tourism For Hotel Suites,+966 112791616,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Tourism For Hotel Suites,,https://arablocal.com/business/view/tourism-for-hotel-suites,,,,,
Saudi Hotels Co.,+966 112917542,,,"Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Malaz Dist.,Riyadh Province,Saudi Arabia,Saudi Hotels Co.,,https://arablocal.com/business/view/saudi-hotels-co,,,,,
Kendah Hotel Suites,+966 138989222,,,"Fourth Street, Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Fourth Street,Eastern Province,Saudi Arabia,Kendah Hotel Suites,,https://arablocal.com/business/view/kendah-hotel-suites,,,,,
Rwaq Hotel Suites Khaleej Riyadh,+966 550827741,+966 112334724,,"Shaekh Jaber Street, Khaleej Dist., Riyadh, Khaleej Dist., Riyadh, Riyadh Province, Saudi Arabia",Shaekh Jaber Street,Riyadh Province,Saudi Arabia,Rwaq Hotel Suites Khaleej Riyadh,,https://arablocal.com/business/view/rwaq-hotel-suites-khaleej-riyadh,,,,,
Jana For Hotel Suites,+966 138090405,,,"Dammam, Dammam, Dammam, Eastern Province, Saudi Arabia",Dammam,Eastern Province,Saudi Arabia,Jana For Hotel Suites,,https://arablocal.com/business/view/jana-for-hotel-suites,,,,,
Arwad Suites Khobar Southern Al Khobar,+966 138950550,,,"Prince Majed Street, Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Prince Majed Street,Eastern Province,Saudi Arabia,Arwad Suites Khobar Southern Al Khobar,,https://arablocal.com/business/view/arwad-suites-khobar-southern-al-khobar,,,,,
Arab Palace For Hotel Suites,+966 172257912,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Arab Palace For Hotel Suites,,https://arablocal.com/business/view/arab-palace-for-hotel-suites,,,,,
Fernaz For Hotel Suites,+966 114162277,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Fernaz For Hotel Suites,,https://arablocal.com/business/view/fernaz-for-hotel-suites,,,,,
Al Markan Hotel For Furnished Res. Units,+966 112250999,,,"Olaya Main Street, Al Mrooj Dist., Riyadh, Al Mrooj Dist., Riyadh, Riyadh Province, Saudi Arabia",Olaya Main Street,Riyadh Province,Saudi Arabia,Al Markan Hotel For Furnished Res. Units,,https://arablocal.com/business/view/al-markan-hotel-for-furnished-res-units,,,,,
Mawasem Al Ghadeer Hotel Suites,+966 138678117,,,"Khobar North, Al Khobar, Khobar North, Al Khobar, Eastern Province, Saudi Arabia",Khobar North,Eastern Province,Saudi Arabia,Mawasem Al Ghadeer Hotel Suites,,https://arablocal.com/business/view/mawasem-al-ghadeer-hotel-suites,,,,,
Danat Hotel,+966 143571000,,,"Yanbu - King Abdulaziz Road - opposite the Chamber of Commerce, Yenbu, Yanbu, Yenbu, Yanbu, Madinah Province, Saudi Arabia",Yanbu - King Abdulaziz Road - opposite the Chamber of Commerce,Madinah Province,Saudi Arabia,Danat Hotel,,https://arablocal.com/business/view/danat-hotel,,,,,
Rokn Al Bariga For Suites Hotel,+966 112047676,,,"Mansoura Dist, Riyadh, Mansoura Dist, Riyadh, Riyadh Province, Saudi Arabia",Mansoura Dist,Riyadh Province,Saudi Arabia,Rokn Al Bariga For Suites Hotel,,https://arablocal.com/business/view/rokn-al-bariga-for-suites-hotel,,,,,
Layaly Sahab For Hotel Suites,+966 172297744,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Layaly Sahab For Hotel Suites,,https://arablocal.com/business/view/layaly-sahab-for-hotel-suites,,,,,
Al Olaya For Hotel Suites,+966 138896161,,,"Makah St., Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Makah St.,Eastern Province,Saudi Arabia,Al Olaya For Hotel Suites,,https://arablocal.com/business/view/al-olaya-for-hotel-suites,,,,,
Al Louluah Hotel Suites,+966 112352767,,,"Al Nahdha Dist., Riyadh, Al Nahdha Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Nahdha Dist.,Riyadh Province,Saudi Arabia,Al Louluah Hotel Suites,,https://arablocal.com/business/view/al-louluah-hotel-suites,,,,,
Al Yamama Place Hotel Suites,+966 138181313,,,"Dist. 91, Dammam, Dist. 91, Dammam, Eastern Province, Saudi Arabia",Dist. 91,Eastern Province,Saudi Arabia,Al Yamama Place Hotel Suites,,https://arablocal.com/business/view/al-yamama-place-hotel-suites,,,,,
Mehwar Hotel Suites,+966 126708222,,,"Mushrifah Dist., Jeddah, Mushrifah Dist., Jeddah, Makkah Province, Saudi Arabia",Mushrifah Dist.,Makkah Province,Saudi Arabia,Mehwar Hotel Suites,,https://arablocal.com/business/view/mehwar-hotel-suites,,,,,
Renad Al Khobar For Hotel Suites,+966 138997447,,,"Al Thuqbah, Al Khobar, Al Thuqbah, Al Khobar, Eastern Province, Saudi Arabia",Al Thuqbah,Eastern Province,Saudi Arabia,Renad Al Khobar For Hotel Suites,,https://arablocal.com/business/view/renad-al-khobar-for-hotel-suites,,,,,
Liyan For Hotel suites,+966 138971010,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Liyan For Hotel suites,,https://arablocal.com/business/view/liyan-for-hotel-suites,,,,,
Dar Wagan Hotel Suites,+966 163831554,,,"Osman Ibn Afan Street, Buraida, Qassim, Buraida, Qassim, Qassim Province, Saudi Arabia",Osman Ibn Afan Street,Qassim Province,Saudi Arabia,Dar Wagan Hotel Suites,,https://arablocal.com/business/view/dar-wagan-hotel-suites,,,,,
Al Qaswaa For Furnished Suites,+966 148490066,,,"Al Hijra Al Nazel Road, Hijrah Dist., Al Madinah Al Munawarah, Hijrah Dist., Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Al Hijra Al Nazel Road,Madinah Province,Saudi Arabia,Al Qaswaa For Furnished Suites,,https://arablocal.com/business/view/al-qaswaa-for-furnished-suites,,,,,
NeawaraAlshatie Hotel Suites,+966 114701506,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,NeawaraAlshatie Hotel Suites,,https://arablocal.com/business/view/neawaraalshatie-hotel-suites,,,,,
Rwaq Hotel Suites King Abdullah Road Riyadh,+966 556844853,+966 112250555,,"Exit 10, King Abdullah Road, Riyadh, King Abdullah Road, Riyadh, Riyadh Province, Saudi Arabia",Exit 10,Riyadh Province,Saudi Arabia,Rwaq Hotel Suites King Abdullah Road Riyadh,,https://arablocal.com/business/view/rwaq-hotel-suites-king-abdullah-road-riyadh,,,,,
Buotat Al Madina for Hotel Suites,+966 148696205,,,"Second Ring Road, Balad, Al Madinah Al Munawarah, Balad, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Second Ring Road,Madinah Province,Saudi Arabia,Buotat Al Madina for Hotel Suites,,https://arablocal.com/business/view/buotat-al-madina-for-hotel-suites,,,,,
Oriental Suite For Hotel Suites,+966 138944544,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Oriental Suite For Hotel Suites,,https://arablocal.com/business/view/oriental-suite-for-hotel-suites,,,,,
Anabah Furnished Res.Units,+966 138933772,,,"street 3, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",street 3,Eastern Province,Saudi Arabia,Anabah Furnished Res.Units,,https://arablocal.com/business/view/anabah-furnished-res-units,,,,,
Bayetak Al Zahi Furnished Apartments Hotel,+966 122870639,,,"Beni Malek Dist., Jeddah, Beni Malek Dist., Jeddah, Makkah Province, Saudi Arabia",Beni Malek Dist.,Makkah Province,Saudi Arabia,Bayetak Al Zahi Furnished Apartments Hotel,,https://arablocal.com/business/view/bayetak-al-zahi-furnished-apartments-hotel,,,,,
Bisan Palace Hotel Suites,+966 172309090,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Bisan Palace Hotel Suites,,https://arablocal.com/business/view/bisan-palace-hotel-suites,,,,,
Saudi Plaza Hotel Suites,+966 138997444,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Saudi Plaza Hotel Suites,,https://arablocal.com/business/view/saudi-plaza-hotel-suites,,,,,
Romance For Hotel Suites,+966 138645632,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Romance For Hotel Suites,,https://arablocal.com/business/view/romance-for-hotel-suites,,,,,
Best Western Plus,+966 114990050,,,"Exit 12 Airport Road, East Ring Road, Riyadh, East Ring Road, Riyadh, Riyadh Province, Saudi Arabia",Exit 12 Airport Road,Riyadh Province,Saudi Arabia,Best Western Plus,,https://arablocal.com/business/view/best-western-plus,,,,,
