Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
logistics,Global Logistics Oman LLC,+968 24583333,,,vnambiar@agilitylogistics.com,Nr Al Galfar CO Galah -,Azaiba,Oman,Global Logistics Oman LLC,http://www.agilitylogistics.com,0,1283,,https://oman.arablocal.com/business/view/global-logistics-oman-llc,,,,,
logistics,Bin Hamdoon Transport And Heavy Equpment LLC,+968 24613387,,,,AL Ghoubra North Al Gubra -,Muscat,Oman,Bin Hamdoon Transport And Heavy Equpment LLC,,0,1210,,https://oman.arablocal.com/business/view/bin-hamdoon-transport-and-heavy-equpment-llc,,,,,
logistics,Abu Nooh Trade L L C,+968 25437163,,,alhoqanigroup@yahoo.com,Nizwa -,Nizwa,Oman,Abu Nooh Trade L L C,,0,1180,,https://oman.arablocal.com/business/view/abu-nooh-trade-l-l-c,,,,,
logistics,Rushstar Mfz,+968 95205151,,,e@rushwan.com,Area :,Mazyona,Oman,Rushstar Mfz,http://www.Rushwan.com,0,1134,,https://oman.arablocal.com/business/view/rushstar-mfz,,,,,
logistics,Galfa National Co LLC,+968 24492325,,,murad_alblushi@yahoo.com,Liwa -,Liwa,Oman,Galfa National Co LLC,,0,1122,,https://oman.arablocal.com/business/view/galfa-national-co-llc,,,,,
logistics,Oman Commercial Corporation LLC,+968 95500932,+968 24817046,,,Area :,Al Wadi Al Kabir,Oman,Oman Commercial Corporation LLC,,0,1050,,https://oman.arablocal.com/business/view/oman-commercial-corporation-llc,,,,,
logistics,Muttrah Trade And Cargo Services LLC,+968 24712125,,,mitairah@mitairah.com.om,Muttrah Al Kubra -,Hay Al Mina Jibroo,Oman,Muttrah Trade And Cargo Services LLC,,0,1024,,https://oman.arablocal.com/business/view/muttrah-trade-and-cargo-services-llc,,,,,
logistics,Spring North United Solidarity,+968 25414442,,,bader-oman@hotmail.com,Area :,Nizwa,Oman,Spring North United Solidarity,,0,921,,https://oman.arablocal.com/business/view/spring-north-united-solidarity,,,,,
electronics,Jamil Mohd Hassan Trading,+968 24535325,,,jkptc@jamnadaskhimji.com,Near Haffa House Dhofar -,Salalah,Oman,Jamil Mohd Hassan Trading,,0,1337,,https://oman.arablocal.com/business/view/jamil-mohd-hassan-trading,,,,,
electronics,Khalfan Bin Hamed Al Hashmi Trade,+968 25422116,,,,Al Hamra -,Al Hamra,Oman,Khalfan Bin Hamed Al Hashmi Trade,,0,1297,,https://oman.arablocal.com/business/view/khalfan-bin-hamed-al-hashmi-trade,,,,,
electronics,Ali Bin Sulaiman Bin Ali Al Dabdoob Trade,+968 26841266,,,,AL Hambar Sohar -,Sohar,Oman,Ali Bin Sulaiman Bin Ali Al Dabdoob Trade,,0,1297,,https://oman.arablocal.com/business/view/ali-bin-sulaiman-bin-ali-al-dabdoob-trade,,,,,
electronics,Mustafa Sultan Enterprises LLC,+968 24636006,,,msho@mustafasultan.com,Nr Bank Muscat Al Khuwair -,Ruwi,Oman,Mustafa Sultan Enterprises LLC,http://www.mustafasultan.com,0,1163,,https://oman.arablocal.com/business/view/mustafa-sultan-enterprises-llc,,,,,
electronics,Basatin Al Barik Trading,+968 26840280,,,,AL Khaboura Sohar -,Al Khaboura,Oman,Basatin Al Barik Trading,,0,1114,,https://oman.arablocal.com/business/view/basatin-al-barik-trading,,,,,
electronics,Business Sophisticated Computer LLC,+968 24161111,,,jas@abi-saleh.net,Wahat AL Marefa Al Rusayl -,Ruwi,Oman,Business Sophisticated Computer LLC,,0,1081,,https://oman.arablocal.com/business/view/business-sophisticated-computer-llc,,,,,
electronics,Al Dekka International Trading,+968 24959920,,,albahran@hotmail.com,Nr TO K.M Ruwi -,Al Hamriyah,Oman,Al Dekka International Trading,,0,1073,,https://oman.arablocal.com/business/view/al-dekka-international-trading,,,,,
electronics,Computer Center And Administrative Sciences LLC,+968 23290129,,,ieco@iecooman.com,Salalah Dhofar -,Salalah,Oman,Computer Center And Administrative Sciences LLC,,0,1052,,https://oman.arablocal.com/business/view/computer-center-and-administrative-sciences-llc,,,,,
electronics,Comprehensive Protection Trading And Cont Co,+968 23258323,,,albatahari@gmail.com,Al Tuf Area Dhofar -,Taqa,Oman,Comprehensive Protection Trading And Cont Co,,0,1065,,https://oman.arablocal.com/business/view/comprehensive-protection-trading-and-cont-co,,,,,
electronics,Hay Bediyah Trade Est,+968 25583070,,,,Bidiya Bidiyah -,Bidiyah,Oman,Hay Bediyah Trade Est,,0,1046,,https://oman.arablocal.com/business/view/hay-bediyah-trade-est,,,,,
electronics,Jusbani Store,+968 24714587,,,,Nr National Bank Muttrah Al Kubra -,Jibroo,Oman,Jusbani Store,,0,942,,https://oman.arablocal.com/business/view/jusbani-store,,,,,
electronics,White Horse Trade And Con,+968 26884885,,,suliman222@hotmail.com,Somhan Al Rustaq -,Barka,Oman,White Horse Trade And Con,,0,857,,https://oman.arablocal.com/business/view/white-horse-trade-and-con,,,,,
schools-,Al Burj Private School,+968 24614571,,,burj@alhkkim.com,Al Azaiba - Near Al Zuber Showroom Al Azaiba -,Azaiba,Oman,Al Burj Private School,,0,2975,,https://oman.arablocal.com/business/view/al-burj-private-school,,,,,
schools-,Al Farabi Private School,+968 24696254,,,alfarabi@moe.om,Madinat Al Sultan Qaboos Al Qurum -,Madinat Al Sultan Qaboos,Oman,Al Farabi Private School,,0,3232,,https://oman.arablocal.com/business/view/al-farabi-private-school,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-mawaleh-privet-school,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bousher-private-school,,,,,
schools-,Al Eithar Private School,+968 24585343,,,aleithar@hotmail.com,Al Ansab Al Busher -,Muscat,Oman,Al Eithar Private School,,0,2490,,https://oman.arablocal.com/business/view/al-eithar-private-school,,,,,
schools-,Al Jubail Private School,+968 25689145,,,,Al Khadhra Ibri -,Ibri,Oman,Al Jubail Private School,,0,2025,,https://oman.arablocal.com/business/view/al-jubail-private-school,,,,,
schools-,Al Nibras Private School LLC,+968 24490281,,,s.salbahalani@hotmail.co.uk,Nr Health Center Al Azaiba -,Mina Al Fahal,Oman,Al Nibras Private School LLC,,0,2032,,https://oman.arablocal.com/business/view/al-nibras-private-school-llc,,,,,
schools-,Fatma Al Zahraa Private School,+968 23292699,,,,Dhofar -,Salalah,Oman,Fatma Al Zahraa Private School,,0,2223,,https://oman.arablocal.com/business/view/fatma-al-zahraa-private-school,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/modern-nahda-private-school,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/qurum-private-school-llc,,,,,
schools-,Ibri Private School,+968 25689845,,,,Hay Al Aqbah Ibri -,Ibri,Oman,Ibri Private School,,,1766,,https://oman.arablocal.com/business/view/ibri-private-school,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-mukhini-international-trade-and-cont,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sareh-al-elm-private-school,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-anwaar-printing-press,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/east-compass-digital-technology-llc,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/iqra-holly-quran-school-llc,,,,,
printing-services,International Printing Press Co,+968 24815771,,,ippmct@omantel.net.om,Area :,Al Wadi Al Kabir,Oman,International Printing Press Co,,0,2894,,https://oman.arablocal.com/business/view/international-printing-press-co,,,,,
security,Electroman LLC,+968 24510315,,,electrmn@omantel.net.om,"Rusail Commercial Centre, Muaskar Al Murtafaa St -",Al Seeb,Oman,Electroman LLC,http://www.electromanoman.com,0,1920,,https://oman.arablocal.com/business/view/electroman-llc,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-serooh-al-khassa-school,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/tawam-international-school,,,,,
security,Al Asateen Integrated System LLC,+968 24815652,,,bhaskark@alasatin.com,M B D Area Ruwi -,Azaiba,Oman,Al Asateen Integrated System LLC,http://www.alasatin.com,0,1914,,https://oman.arablocal.com/business/view/al-asateen-integrated-system-llc,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-taraf-trading,,,,,
printing-services,Al Madina Printing Press,+968 24542281,,,roqsaid@omantel.net.om,Commercial Market Al Khoudh -,Al Khud,Oman,Al Madina Printing Press,,0,2828,,https://oman.arablocal.com/business/view/al-madina-printing-press,,,,,
security,Oman International Electronics And Trading Co LLC,+968 24830404,,,sales@ohielec.com,"B/H German Embassy,Hamriya -",Muscat,Oman,Oman International Electronics And Trading Co LLC,http://www.ohielec.com,0,1813,,https://oman.arablocal.com/business/view/oman-international-electronics-and-trading-co-llc,,,,,
printing-services,Muscat Printing Press,+968 24794452,+968 24795069,,mctprint@omantel.net.om,"Al Noor St Bldg 6429, -",Ruwi,Oman,Muscat Printing Press,http://www.mctprint.com,0,2623,,https://oman.arablocal.com/business/view/muscat-printing-press,,,,,
printing-services,Family Bookshop Oman LLC,+968 24786461,,,fambooks@omantel.net.om,Behind Bank Muscat Ruwi -,Ruwi,Oman,Family Bookshop Oman LLC,,0,2484,,https://oman.arablocal.com/business/view/family-bookshop-oman-llc,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/zahrat-oman-private-school,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-tawash-trading-and-technical-services-llc,,,,,
coffee-shops,Ain Al Yaqeen Trading,+968 24607399,,,,Al Seeb -,Ruwi,Oman,Ain Al Yaqeen Trading,,0,1575,,https://oman.arablocal.com/business/view/ain-al-yaqeen-trading,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/anwar-al-huda-private-school,,,,,
coffee-shops,Abu Saleh Al Hashmi Trading Est,+968 25558402,,,,AL Kamil Al Kamil Al Wafi -,Al Kamil And Al Wafi,Oman,Abu Saleh Al Hashmi Trading Est,,0,1534,,https://oman.arablocal.com/business/view/abu-saleh-al-hashmi-trading-est,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/blue-corner-printing-press,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/khalid-bin-khalaf-bin-obaid-al-bedwawi-trading,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/integrated-safety-trading-and-cont-co-llc,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/american-british-academy,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/g4s-security-solutions-llc,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/ahmes-saud-rashid-al-harthy-trading,,,,,
printing-services,Ruwi Modern Printers LLC,+968 24798157,,,printrnt@aarteoman.com,Darsait -,Ruwi,Oman,Ruwi Modern Printers LLC,,0,2386,,https://oman.arablocal.com/business/view/ruwi-modern-printers-llc,,,,,
schools-,Al Qimmah Private School L L C,+968 24613334,,,alqimma@hotmail.com,North Al Gubra -,Al Khud,Oman,Al Qimmah Private School L L C,,0,1492,,https://oman.arablocal.com/business/view/al-qimmah-private-school-l-l-c,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-zahra-printing-press-llc,,,,,
security,Al Madina Development And Supply Co LLC,+968 24602771,,,michel@almadinagroup.net,Near British School Madinat Al Sultan Qaboos -,Ruwi,Oman,Al Madina Development And Supply Co LLC,http://www.almadinagroup.net,0,1687,,https://oman.arablocal.com/business/view/al-madina-development-and-supply-co-llc,,,,,
schools-,Al Hakma Traning Inustitut LLC,+968 24780811,,,,Next Ruwi School Muttrah Al Kubra -,Al Hamriyah,Oman,Al Hakma Traning Inustitut LLC,,0,1422,,https://oman.arablocal.com/business/view/al-hakma-traning-inustitut-llc,,,,,
coffee-shops,Abu Razan Al Wattaniya Projects,+968 24423383,,,,Al Wadi Al Kabir -,Al Seeb,Oman,Abu Razan Al Wattaniya Projects,,0,1471,,https://oman.arablocal.com/business/view/abu-razan-al-wattaniya-projects,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-batna-modern-technological-printing-and-stationeries-llc,,,,,
security,Safety Technical Services Co Ltd,+968 24502589,+968 24596588,+968 24501437,info@safetyoman.com,"Nr Riam Signs,Round Abt -",Muscat,Oman,Safety Technical Services Co Ltd,http://www.safetyoman.com,0,1651,,https://oman.arablocal.com/business/view/safety-technical-services-co-ltd,,,,,
coffee-shops,Abu Hamyar Trading,+968 24847249,,,,Wadi Hatat -,Qurayat,Oman,Abu Hamyar Trading,,0,1416,,https://oman.arablocal.com/business/view/abu-hamyar-trading,,,,,
security,Al Ramooz Alarabia Tarading Al Buraimi Branch,+968 25651525,,,infor.ramooz@gmail.com,Al Buraimi -,Al Buraimi,Oman,Al Ramooz Alarabia Tarading Al Buraimi Branch,,0,1586,,https://oman.arablocal.com/business/view/al-ramooz-alarabia-tarading-al-buraimi-branch,,,,,
printing-services,Al Anan Printing Press LLC,+968 24446163,,,alanan@alananprinting.com,Oman -,Rusayl,Oman,Al Anan Printing Press LLC,,0,2112,,https://oman.arablocal.com/business/view/al-anan-printing-press-llc,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-ata-al-omania-printing-press,,,,,
security,Al Jazia Trading LLC,+968 24810388,,,Araboo8@hotmail.com,Al Wadi Al Kabir -,Al Wadi Al Kabir,Oman,Al Jazia Trading LLC,,0,1571,,https://oman.arablocal.com/business/view/al-jazia-trading-llc,,,,,
coffee-shops,Abdulnasser Ali Abdullah Al Ghelani Trading,+968 25541225,,,,Sur -,Sur Commercial District,Oman,Abdulnasser Ali Abdullah Al Ghelani Trading,,,1373,,https://oman.arablocal.com/business/view/abdulnasser-ali-abdullah-al-ghelani-trading,,,,,
security,Media Computers And Training Services LLC,+968 24795890,,,media97@omantel.net.om,Next to state Bank of India,Muttrah,Oman,Media Computers And Training Services LLC,http://www.mediaoman.com,0,1568,,https://oman.arablocal.com/business/view/media-computers-and-training-services-llc,,,,,
coffee-shops,Mohammed Bin Saleh Bin Mohammed Al Ghelani Trade,+968 25544532,,,,Sur -,Sur Commercial District,Oman,Mohammed Bin Saleh Bin Mohammed Al Ghelani Trade,,0,1375,,https://oman.arablocal.com/business/view/mohammed-bin-saleh-bin-mohammed-al-ghelani-trade,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-buraimi-printing,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/kardan-national-cont-ent-llc,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-az-al-asarya-trading-est,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/packaging-printing-oman,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/gunnebo-middle-east-representative-office,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-baker-trade-and-cont-co,,,,,
printing-services,Al Bayan Printing Press LLC,+968 24817811,,,al_bbb@yahoo.com,Industrail Area Al Wadi Al Kabir -,Hay Al Mina Jibroo,Oman,Al Bayan Printing Press LLC,,0,1830,,https://oman.arablocal.com/business/view/al-bayan-printing-press-llc,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/lalbuksh-voltas-engineering-services-and-trading-llc,,,,,
printing-services,Khalid Bin Ali Bin Khamis Al Balushi And Partners LLC,+968 24810189,,,ktcolor@omantel.net.om,Al Wadi Al Kabir -,Al Wadi Al Kabir,Oman,Khalid Bin Ali Bin Khamis Al Balushi And Partners LLC,,0,1717,,https://oman.arablocal.com/business/view/khalid-bin-ali-bin-khamis-al-balushi-and-partners-llc,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/zahrat-al-mushtari,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/pos-systems-and-barcode-solutions,,,,,
printing-services,Zawaya Press And Publishing LLC,+968 24814200,,,,Opp Qurum Park Al Qurum -,Muscat,Oman,Zawaya Press And Publishing LLC,,0,1715,,https://oman.arablocal.com/business/view/zawaya-press-and-publishing-llc,,,,,
printing-services,Modern Colour Printers LLC,+968 24505847,,,mcpllcoman@yahoo.com,Area :,Al Qurum,Oman,Modern Colour Printers LLC,,0,1578,,https://oman.arablocal.com/business/view/modern-colour-printers-llc,,,,,
coffee-shops,Al Ehtemam Trading,+968 26795136,,,,Barka -,Hay Al Mina Jibroo,Oman,Al Ehtemam Trading,,0,1288,,https://oman.arablocal.com/business/view/al-ehtemam-trading,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/abu-al-manjad-trade-and-con,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/muscat-int-ipec-llc,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/zahra-sur-fast-food,,,,,
printing-services,Oriental Falcon Screen And Printing,+968 24830701,,,,Al Humriya -,Al Hamriyah,Oman,Oriental Falcon Screen And Printing,,0,1559,,https://oman.arablocal.com/business/view/oriental-falcon-screen-and-printing,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/alshahba-praivet-school,,,,,
schools-,Capital Private School Muscat,+968 24480355,+968 99801655,,cps20102011@hotmail.com,"Madinat Sultan Qaboos,HCQR+H4P, Al Maha St, Muscat, Oman",Madinat Al Sultan Qaboos,Oman,"The Capital Private School (CPS) is a 3 decades old institution located in the Madinat Sultan Qaboos area in Muscat, the capital city of the Sultanate of Oman. The school offers Kindergarten to General Education Diploma level education. The medium of instruction are English and Arabic where the majority of the students have English as the medium of instruction. In an expression of its commitment to enhance the uses of technology in teaching and learning as well as to instill in learners a wid...",http://www.cpsoman.com/,,1372,,https://oman.arablocal.com/business/view/capital-private-school-muscat,https://www.facebook.com/Capital.Private.School,https://www.instagram.com/cps.oman/,,https://twitter.com/cpsoman,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-huda-private-school,,,,,
security,Albusaidi Group Of Companies,+968 24121257,+968 92673864,,inquiry@albusaidioman.com,Near Umalqura Mosque -,Al Athaiba,Oman,Albusaidi Group Of Companies,http://www.albusaidioman.com/www.cometoman.com,,1486,,https://oman.arablocal.com/business/view/albusaidi-group-of-companies,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sama-jabal-shams-trade-llc,,,,,
coffee-shops,Shatha Al Andalus Trade,+968 26886661,,,khcompany777@gmail.com,Barka -,Barka,Oman,Shatha Al Andalus Trade,,0,1279,,https://oman.arablocal.com/business/view/shatha-al-andalus-trade,,,,,
printing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sabco-media-s-a-o-c,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/malik-bin-faham-praivet-school,,,,,
coffee-shops,Ruboo Al Khair Projects Trading,+968 23233320,,,,Eastern Salalah Dhofar -,Al Saadah,Oman,Ruboo Al Khair Projects Trading,,0,1253,,https://oman.arablocal.com/business/view/ruboo-al-khair-projects-trading,,,,,
printing-services,Saif Bin Ali Bin Mohamed Al Salhi And Sons Trading Co,+968 26714081,,,,Nr Al Suwaiq Printing Al Suwaiq -,Al Suwaiq,Oman,Saif Bin Ali Bin Mohamed Al Salhi And Sons Trading Co,,0,1446,,https://oman.arablocal.com/business/view/saif-bin-ali-bin-mohamed-al-salhi-and-sons-trading-co,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/salim-al-bahlani-trading,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/tarig-al-jabri-tradein,,,,,
coffee-shops,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/khat-al-qawafil-llc,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/azzan-bin-qais-private-school,,,,,
schools-,Seeb International School,+968 24284800,+968 24284888,,info@abqseeb.edu.om,"Al khoud,seeb,muscat",Al Seeb,Oman,At Seeb international school our aspirations are high for all our students. We are not just looking at K-12 education as an end in itself as our sights are way beyond this. We take the responsibility to prepare each of our students for what lies ahead in life as our main focus. Our students are not only taught core academic knowledge but also learn essential 21st Century skills which is a powerful combination needed to realize their potential in a fast-changing world. At ABQ Seeb Internationa...,http://www.abq.edu.om/seeb-international-school/,,1239,,https://oman.arablocal.com/business/view/seeb-international-school,https://www.facebook.com/abqseeb,https://www.instagram.com/abqseeb/,,https://twitter.com/abqseeb,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/the-sultans-school,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-tcaful-al-aalmia-trading,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/tabarak-private-school,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/safety-house-technical-services,,,,,
schools-,Nizwa Private School LLC,+968 25410057,,,,Nizwa -,Nizwa,Oman,Nizwa Private School LLC,,0,1161,,https://oman.arablocal.com/business/view/nizwa-private-school-llc,,,,,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bahajjaj-general-trading-and-cont-co-llc,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-raneem-private-school,,,,,
schools-,The International School of Choueifat,+968 24534000,,,info@iscmuscat.sabis.net,"P.O. Box 1104, Postal Code 111 C.P.O, Muscat",Muscat,Oman,"Welcome to the International School of Choueifat – Muscat (ISC-Muscat), a member of the global SABIS® Network. Like all SABIS® Network schools, ISC-Muscat implements the proven SABIS® Educational System and prepares students for internationally recognized external examinations. ISC-Muscat is a multinational, non-selective, co-educational, independent, English-medium day school serving both the local and multinational communities and catering to students from 3 to 18 years old (Kindergarten th...",http://iscmuscat.edu.om/,0,1142,,https://oman.arablocal.com/business/view/the-international-school-of-choueifat,https://www.facebook.com/isc.muscat.oman,https://www.instagram.com/iscmuscat,,https://twitter.com/SABIS_Education,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/capital-private-school,,,,,
security,Technology System LLC Oman,+968 71383981,,,issac@techsys-pos.com,Area :,Ruwi,Oman,"Regions leading provider of Point of Sale (POS) solutions.Supplies set of methods, technologies and devices, such as bar code readers, radio frequency identification (RFID), magnetic stripe cards/readers and optical memory cards, printers.One stop solution provider for all IT business needs. Supplies Servers, Commercial Laptops & Desktops, Routers, Printers of all leading brands.Time attendance Machines, Secure you premises with Access Control, Smart Locks, Entrance Control Devices",,,1322,,https://oman.arablocal.com/business/view/technology-system-llc-oman,,,,,
security,Golden Eagle Eye LLC,+968 24152441,+968 99864561,,kaleem@gee-oman.com,Rusayl Sultanate of Oman -,Rusayl,Oman,Golden Eagle Eye LLC,,0,1238,,https://oman.arablocal.com/business/view/golden-eagle-eye-llc,,,,,
security,Wahra Trade And Cont,+968 26844406,,,,Al Tareef Sohar -,Al Tarif,Oman,Wahra Trade And Cont,,0,1249,,https://oman.arablocal.com/business/view/wahra-trade-and-cont,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sarh-al-jaameah-private-school,,,,,
security,Takaful International Trading LLC,+968 99434359,+968 25651525,,,Area :,Al Buraimi,Oman,Takaful International Trading LLC,,0,1225,,https://oman.arablocal.com/business/view/takaful-international-trading-llc,,,,,
schools-,Al Insherah School For Quran,+968 24541266,,,alinsherahschool@yahoo.com,-,Ruwi,Oman,Al Insherah School For Quran,,0,1109,,https://oman.arablocal.com/business/view/al-insherah-school-for-quran,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-mawhiba-private-school,,,,,
schools-,Sohar International School,+968 26648800,,,info@abqsohar.edu.om,sohar,Sohar,Oman,"The history of ABQ schools starts with the venerable Azzan Bin Qais International School – a pioneer and an iconic presence in the Omani private education landscape. Started in 1990, it is an embodiment of transformation and development of Oman as a country and its education system. Azzan Bin Qais School was acquired by Al Omania Education in 2009, followed by a significant expansion and upgrade of the campus. Al Omania continued its commitment to the education sector by launching As Seeb Int...",http://www.abq.edu.om/sohar-international-school/,,1114,,https://oman.arablocal.com/business/view/sohar-international-school,https://www.facebook.com/abqsohar/,https://www.instagram.com/abqsohar/,,https://twitter.com/sisohar,
security,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/rays-of-modern-gulf-llc,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/pakistan-school-muscat,,,,,
security,Samad Al Shain Trade And Con,+968 25576707,,,alwadhahy@gmail.com,Al Khoudh -,Al Khud,Oman,Samad Al Shain Trade And Con,,0,1219,,https://oman.arablocal.com/business/view/samad-al-shain-trade-and-con,,,,,
security,Al Rassi Line,+968 26882220,,,khalid@v-linepro.com,Barka -,Barka,Oman,Al Rassi Line,,,1206,,https://oman.arablocal.com/business/view/al-rassi-line,,,,,
schools-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/aba-oman-international-school,,,,,
